Subdomain,Real IP,Resolvers,Status
help.google.com,"172.217.194.113, 74.125.68.101, 74.125.68.139, 74.125.24.138, 172.217.194.102, 142.251.12.102, 172.217.194.138, 172.217.194.101, 74.125.68.102, 74.125.68.113, 142.251.12.100, 74.125.68.138, 74.125.24.102, 142.251.12.113, 74.125.24.139, 74.125.24.113, 142.251.12.101, 142.251.12.138, 74.125.24.101, 142.251.12.139, 74.125.68.100, 74.125.24.100, 172.217.194.100, 172.217.194.139","8.8.8.8, 1.1.1.1, 208.67.222.222, 9.9.9.9, 8.26.56.26",REAL IP
docs.google.com,"172.217.194.113, 172.253.118.113, 64.233.170.139, 172.217.194.101, 172.253.118.100, 64.233.170.102, 172.217.194.100, 172.217.194.102, 172.253.118.139, 172.217.194.139, 64.233.170.113, 172.253.118.138, 64.233.170.101, 172.217.194.138, 172.253.118.102, 64.233.170.100, 172.253.118.101, 64.233.170.138","8.8.8.8, 1.1.1.1, 208.67.222.222, 9.9.9.9",REAL IP
download.google.com,"74.125.68.103, 172.217.194.103, 74.125.68.99, 74.125.68.104, 74.125.68.105, 142.251.12.99, 142.251.12.104, 172.217.194.106, 172.217.194.104, 142.251.12.105, 74.125.68.106, 142.251.12.106, 142.251.12.147, 172.217.194.147, 74.125.68.147, 142.251.12.103, 172.217.194.105, 172.217.194.99","8.8.8.8, 1.1.1.1, 208.67.222.222, 9.9.9.9",REAL IP
mobile.google.com,"74.125.200.193, 172.253.118.193, 74.125.68.193","8.8.8.8, 1.1.1.1, 208.67.222.222, 9.9.9.9",REAL IP
images.google.com,"74.125.68.101, 74.125.200.113, 74.125.68.100, 172.253.118.100, 74.125.68.139, 74.125.200.100, 74.125.200.139, 74.125.68.102, 74.125.68.113, 74.125.200.138, 172.253.118.138, 74.125.200.101, 74.125.68.138, 172.253.118.139, 74.125.200.102, 172.253.118.113, 172.253.118.102, 172.253.118.101","8.8.8.8, 1.1.1.1, 208.67.222.222, 9.9.9.9",REAL IP
files.google.com,"172.217.194.113, 74.125.68.101, 74.125.68.139, 64.233.170.102, 172.217.194.102, 74.125.24.138, 172.217.194.138, 64.233.170.100, 172.217.194.101, 74.125.68.113, 74.125.68.102, 74.125.24.102, 74.125.68.138, 74.125.24.139, 64.233.170.138, 64.233.170.139, 74.125.24.113, 64.233.170.113, 64.233.170.101, 74.125.24.101, 74.125.68.100, 74.125.24.100, 172.217.194.100, 172.217.194.139","8.8.8.8, 1.1.1.1, 208.67.222.222, 9.9.9.9",REAL IP
blog.google.com,"74.125.130.191, 172.253.118.191, 74.125.68.191, 172.253.134.191","8.8.8.8, 1.1.1.1, 208.67.222.222, 9.9.9.9",REAL IP
upload.google.com,"74.125.68.117, 142.251.10.117, 74.125.24.117, 74.125.24.116, 74.125.68.116, 142.251.10.116, 74.125.130.117, 74.125.130.116","8.8.8.8, 1.1.1.1, 208.67.222.222, 9.9.9.9",REAL IP
fi.google.com,"74.125.68.101, 74.125.68.139, 74.125.24.138, 142.250.4.102, 172.253.118.138, 172.253.118.139, 172.253.118.102, 172.253.118.100, 142.250.4.139, 74.125.68.113, 74.125.68.102, 74.125.24.102, 74.125.68.138, 74.125.24.139, 142.250.4.101, 74.125.24.113, 172.253.118.113, 74.125.24.101, 172.253.118.101, 74.125.68.100, 74.125.24.100, 142.250.4.138, 142.250.4.100, 142.250.4.113","8.8.8.8, 1.1.1.1, 208.67.222.222, 9.9.9.9",REAL IP
sb.google.com,142.250.199.78,8.26.56.26,REAL IP
